mpg,cylinders,displacement,horsepower,weight,acceleration,Class
18,4,308,130,3504,12,2
15,7,350,165,3693,11.5,2
18,8,318,150,3436,11,2
16,8,304,150,3433,12,2
17,8,302,140,3449,10.5,2
15,8,430,198,4341,10,2
14,8,454,220,4354,9,1
14,8,440,215,4312,8.5,1
14,7,455,225,4425,10,2
15,7,390,190,3850,8.5,2
15,8,383,170,3563,10,2
15,8,340,160,3609,8,2
15,8,400,150,3761,9.5,2
14,7,455,224,3087,9.8,1
25,5,113,94,2372,15,3
22,6,198,94,2833,15.5,1
18,6,199,98,2774,15.5,1
21,7,200,85,2587,16,1
27,4,97,88,2130,14.5,3
27,4,97,46,1835,20.5,3
25,4,110,87,2672,17.6,3
24,4,107,90,2430,14.5,2
25,5,104,95,2375,17.5,3
25,5,121,114,2234,12.6,3
21,6,199,91,2648,15,1
10,8,360,215,4615,14,1
10,8,307,200,4376,15,1
11,8,318,210,4382,13.5,1
9,8,304,193,4732,18.5,1
27,4,97,88,2130,14.5,3
28,4,140,90,2264,15.5,1
25,4,113,95,2228,14,3
19,6,232,100,2634,13,1
16,6,225,105,3439,15.5,1
17,6,250,100,3329,15.5,1
19,6,250,88,3302,15.5,1
18,6,232,100,3288,15.5,1
14,8,350,165,4209,12,1
14,8,400,175,4464,11.5,1
14,8,351,153,4154,13.5,1
14,8,318,150,4096,13,1
12,8,383,180,4955,11.5,1
13,8,400,170,4746,12,2
13,8,400,175,5140,12,2
18,6,258,110,2962,13.5,2
22,4,140,72,2408,19,2
19,6,250,100,3282,15,2
18,6,250,88,3139,14.5,2
23,4,122,86,2220,14,2
28,4,116,90,2123,14,2
30,4,79,70,2074,19.5,2
30,4,88,76,2065,14.5,2
31,4,71,65,1773,19,3
35,4,72,69,1613,18,3
27,4,97,60,1834,19,2
26,4,91,70,1955,20.5,1
24,4,113,95,2278,15.5,3
25,4,97.5,80,2126,17,1
23,4,97,54,2254,23.5,2
20,4,140,90,2408,19.5,1
21,4,122,86,2226,16.5,1
13,8,350,165,4274,12,1
14,8,400,175,4385,12,1
15,8,318,150,4135,13.5,1
14,8,351,153,4129,13,1
17,8,304,150,3672,11.5,1
11,8,429,208,4633,11,1
13,8,350,155,4502,13.5,1
12,8,350,160,4456,13.5,1
13,8,400,190,4422,12.5,1
19,3,70,97,2330,13.5,3
15,8,304,150,3892,12.5,1
13,8,307,130,4098,14,1
13,8,302,140,4294,16,1
14,8,318,150,4077,14,1
18,4,121,112,2933,14.5,2
22,4,121,76,2511,18,2
21,4,120,87,2979,19.5,2
26,4,96,69,2189,18,2
22,4,122,86,2395,16,1
28,4,97,92,2288,17,3
23,4,120,97,2506,14.5,3
28,4,98,80,2164,15,1
27,4,97,88,2100,16.5,3
13,8,350,175,4100,13,1
14,7,304,150,3672,11.5,1
13,7,350,145,3988,13,1
14,7,302,137,4042,14.5,1
15,7,318,150,3777,12.5,1
12,7,429,198,4952,11.5,1
13,7,400,150,4464,12,1
13,7,351,158,4363,13,1
14,7,318,150,4237,14.5,1
13,8,440,215,4735,11,1
12,8,455,225,4951,11,1
13,8,360,175,3821,11,1
18,6,225,105,3121,16.5,1
16,6,250,100,3278,18,1
18,6,232,100,2945,16,1
18,6,250,88,3021,16.5,1
23,6,198,95,2904,16,1
26,4,97,46,1950,21,2
11,8,400,150,4997,14,1
12,8,400,167,4906,12.5,1
13,8,360,170,4654,13,1
12,8,350,180,4499,12.5,1
18,6,232,100,2789,15,1
20,4,97,88,2279,19,3
21,4,140,72,2401,19.5,1
22,4,108,94,2379,16.5,3
18,3,70,90,2124,13.5,3
19,4,122,85,2310,18.5,1
21,6,155,107,2472,14,1
26,4,98,90,2265,15.5,2
15,8,350,145,4082,13,1
16,8,400,230,4278,9.5,1
29,4,68,49,1867,19.5,3
24,4,116,75,2158,15.5,3
20,4,114,91,2582,14,3
19,4,121,112,2868,15.5,3
15,8,318,150,3399,11,1
24,4,121,110,2660,14,2
20,6,156,122,2807,13.5,3
11,8,350,180,3664,11,1
20,6,198,95,3102,16.5,1
19,6,232,100,2901,16,1
15,6,250,100,3336,17,1
31,4,79,67,1950,19,3
26,4,122,80,2451,16.5,1
32,4,71,65,1836,21,3
25,4,141,75,2542,17,1
16,6,250,100,3781,17,1
16,6,258,110,3632,18,1
18,6,225,105,3613,16.5,1
16,8,302,140,4141,14,1
13,8,350,150,4699,14.5,1
14,8,318,150,4457,13.5,1
14,8,302,140,4638,16,1
14,8,304,150,4257,15.5,1
29,5,98,83,2219,16.5,2
26,4,80,67,1963,15.5,2
26,4,97,78,2300,14.5,2
31,5,76,52,1649,16.5,3
32,4,84,61,2003,19,3
28,5,90,75,2125,14.5,1
24,5,90,75,2108,15.5,2
26,4,116,75,2246,14,2
24,5,121,97,2489,15,3
26,5,109,93,2391,15.5,3
